iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
ABW,LCN,Aruba,HIC,35563.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,103187,NA,NA,NA,NA,NA,88132.0167
AFG,SAS,Afghanistan,LIC,2057.062256,NA,NA,NA,NA,NA,NA,NA,NA,NA,34656032,NA,20000,NA,NA,9855,5628525.37
AGO,SSF,Angola,LMC,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,25096150,NA,92000,NA,NA,5495.95,4213643.585
ALB,ECS,Albania,UMC,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,NA,4.6,NA,2854191,203009,20000,5714.82,270269,114.3,1087446.75
AND,ECS,Andorra,HIC,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,NA,NA,NA,82431,NA,NA,1788,NA,NA,43000
ARE,MEA,United Arab Emirates,HIC,67119.13281,39,4,3,10,25,19,NA,NA,NA,9770529,2876313,134000,57525,3306644,4573,5617682
ARG,LCN,Argentina,HIC,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,42981516,NA,291700,310044,NA,NA,17910550
ARM,ECS,Armenia,UMC,11019.83887,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,NA,2906220,7820,14000,62270,47310540,NA,492800
ASM,EAS,American Samoa,UMC,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,55599,NA,NA,NA,NA,NA,18989.49
ATG,LCN,Antigua and Barbuda,HIC,17965.50195,46,7,7,12,15,13,NA,NA,NA,96777,NA,1100,NA,NA,NA,30585
AUS,EAS,Australia,HIC,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,23789338,20000000,574000,7000000,31000000,NA,13345000
AUT,ECS,Austria,HIC,56029.61328,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,8877067,42423893,166174,1272288,NA,696748,5219715.5
AZE,ECS,Azerbaijan,UMC,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,9649341,NA,63000,296979.4,NA,NA,2930349
BDI,SSF,Burundi,LIC,839.7785034,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,6741569,NA,5000,NA,NA,NA,1872016
BEL,ECS,Belgium,HIC,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,NA,2.37,5.84,11484055,35824399,603575,2946195,NA,2397368,4765883
BEN,SSF,Benin,LIC,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,NA,NA,NA,5521763,NA,8200,NA,NA,1698,685936.01
BFA,SSF,Burkina Faso,LIC,1925.331177,21,1,1,61,7,9,NA,NA,NA,18110624,NA,11000,7871,NA,NA,2575251.11
BGD,SAS,Bangladesh,LMC,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,155727056,NA,142000,114358,26884,12271,14778497.33
BGR,ECS,Bulgaria,UMC,22279.36133,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,7025037,172369117,53785,12206169,NA,518228,2859190
BHR,MEA,Bahrain,HIC,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,1425171,570099.67,20000,31000,140000,911000,951942.9695
BHS,LCN,"Bahamas, The",HIC,35400.08203,46,7,7,12,15,13,NA,NA,NA,386838,NA,4900,NA,NA,NA,264000
BIH,ECS,Bosnia and Herzegovina,UMC,12671.00781,NA,NA,NA,92.7,4.9,NA,NA,NA,2.4,3535961,252310,1409,8408,4048650,8150,1248718
BLR,ECS,Belarus,UMC,18307.51953,30,8,2,35,5,12,6,2,NA,9489616,NA,72000,1336926,NA,NA,4280000
BLZ,LCN,Belize,UMC,7259.024414,47,8,5,5,16,19,NA,NA,NA,359288,NA,2300,NA,NA,188,101378.8303
BMU,NAC,Bermuda,HIC,80982.36719,17,9,6,26,29,13,NA,NA,NA,64798,NA,NA,525,NA,NA,82000
BOL,LCN,Bolivia,LMC,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,NA,NA,NA,10724705,NA,35392,545183,NA,4683,2219052
BRA,LCN,Brazil,UMC,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,NA,NA,NA,208494896,45158165,1411900,NA,NA,260063,79069584
BRB,LCN,Barbados,HIC,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,12.1,NA,18.6,280601,184957,3800,9410.337,NA,NA,174815.4444
BRN,EAS,Brunei Darussalam,HIC,60865.98828,36,3,4,15,18,16,1,1,6,423196,NA,7700,NA,NA,195,216253.156
BTN,SAS,Bhutan,LMC,6743.016113,58,4,1,7,17,13,NA,NA,NA,686958,NA,1457.5,NA,1476.37,358,111314.05
BWA,SSF,Botswana,UMC,14126.38965,8.1,NA,0.1,91.9,NA,NA,NA,NA,NA,2014866,NA,16000,NA,NA,2500,210854.4426
CAF,SSF,Central African Republic,LIC,822.6104736,NA,NA,NA,NA,NA,NA,NA,NA,NA,4515392,NA,2700,NA,NA,NA,1105983
CAN,NAC,Canada,HIC,47672.07813,24,6,13,8,47,3,NA,NA,NA,35544564,653255,724000,NA,1118000000,NA,25103034
CHE,ECS,Switzerland,HIC,68394.28906,29,4,3,29,20,15,NA,NA,NA,8574832,6390000,184000,1200000,1470000,NA,6079556
CHI,ECS,Channel Islands,HIC,46672.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,164541,NA,NA,NA,NA,NA,178933
CHL,LCN,Chile,HIC,20361.71484,53.3,6.6,2.3,16,12.4,9.4,NA,NA,NA,16829442,NA,176000,249755,NA,NA,6517000
CHN,EAS,China,UMC,16092.30078,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,NA,1400050048,1500000000,7211000,34652400,3270790000,NA,395081376
CIV,SSF,Côte d’Ivoire,LMC,3660.902832,NA,NA,NA,NA,NA,NA,NA,NA,NA,20401332,NA,22000,NA,NA,NA,4440814.27
CMR,SSF,Cameroon,LMC,3262.763672,83.4,0.1,0.7,10.4,2.1,3.3,NA,NA,NA,21655716,NA,19000,8716.6,NA,NA,3270616.59
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998,NA,NA,NA,NA,NA,NA,NA,NA,NA,78736152,NA,NA,NA,NA,NA,14385226.02
COG,SSF,"Congo, Rep.",LMC,4899.57959,NA,NA,NA,NA,NA,NA,NA,NA,NA,2648507,NA,NA,NA,NA,NA,451200
COL,LCN,Colombia,UMC,12523.00684,59.58,2.35,1.1,15.74,8.4,12.83,NA,NA,NA,46406648,NA,252200,270146.3,NA,27704,12150120
COM,SSF,Comoros,LIC,2959.540039,50,2,4,22,7,5,NA,NA,10,777424,NA,600,NA,NA,NA,91013
CPV,SSF,Cabo Verde,LMC,6353.783203,NA,NA,NA,NA,NA,NA,NA,NA,NA,513979,NA,2400,3548.92,NA,76,132555
CRI,LCN,Costa Rica,UMC,18168.71484,58,1,2,7,21,11,NA,NA,NA,4757575,800000,35800,NA,NA,NA,1460000
CUB,LCN,Cuba,UMC,12984.71094,68.9,4.6,1.6,3,12.3,9.6,NA,NA,NA,11303687,NA,NA,565216,NA,NA,2692691.98
CUW,LCN,Curacao,HIC,27503.78906,NA,NA,NA,NA,NA,NA,NA,NA,NA,153822,NA,NA,NA,NA,NA,24703.8132
CYM,LCN,Cayman Islands,HIC,66207.44531,10.9,3.5,6.2,11.4,31.1,11,NA,7.3,18.6,59172,NA,NA,NA,NA,NA,60000
CYP,ECS,Cyprus,HIC,39544.68359,41.47,2.66,3.25,10.07,25.7,14.77,NA,2.08,NA,1198575,1377767,18137,173377,NA,21404,769485.125
CZE,ECS,Czech Republic,HIC,40836.32813,62.3,2.4,8.4,14.9,9.1,2.2,NA,0.7,NA,10669709,13379041,79581,1162342,NA,797432,5334854.5
DEU,ECS,Germany,HIC,53784.78125,30,10,1.4,17.7,24,13,4,NA,NA,83132800,275413069,2465085,21812660,NA,8821344,50627876
DJI,MEA,Djibouti,LMC,6596.775391,NA,NA,NA,NA,NA,NA,NA,NA,NA,746221,NA,900,NA,NA,NA,114997.249
DMA,LCN,Dominica,UMC,11708.63965,45,8,5,14,12,16,NA,NA,NA,72400,NA,NA,627,NA,NA,13176
DNK,ECS,Denmark,HIC,57821.19922,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,5818553,11402900,168614,1718394,NA,317413,4910858.5
DOM,LCN,Dominican Republic,UMC,15328.35254,51,6,3,10,16,10,NA,4,NA,10528394,NA,57000,NA,NA,NA,4063910
DZA,MEA,Algeria,UMC,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,NA,40606052,11000000,252000,330000,2547000,30000,12378740
ECU,LCN,Ecuador,UMC,11896.37695,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,NA,16144368,NA,73000,193812,NA,11292,5297211.143
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.10742,56,4,2,15,10,13,NA,NA,NA,87813256,4000000,497000,380000,6000000,28300,21000000
ERI,SSF,Eritrea,LIC,1714.552368,NA,NA,NA,NA,NA,NA,NA,NA,NA,4474690,NA,3800,NA,NA,NA,726957.37
ESP,ECS,Spain,HIC,40985.55859,49,8,3,14,15,9,NA,2,NA,47076780,52155411,1202597,2984518,NA,2990346,22408548
EST,ECS,Estonia,HIC,36956.28516,36.7,8.3,2.6,15.9,17.5,18.6,NA,0.4,NA,1326590,18094986,34312,10410321,NA,1750157,489511.7188
ETH,SSF,Ethiopia,LIC,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,NA,NA,NA,99873032,NA,49000,NA,NA,NA,6532786.97
FIN,ECS,Finland,HIC,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,NA,0.73,NA,5520314,84662998,212954,1998693,NA,1006713,3124497.75
FJI,EAS,Fiji,UMC,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,0.1,NA,37.2,867086,NA,4600,NA,NA,316.16,189389.594
FRA,ECS,France,HIC,46110.18359,32,10,3,26,20,9,NA,NA,NA,67059888,236301207,2218682,10783405,NA,4867183,36748820
FRO,ECS,Faeroe Islands,HIC,44402.87891,NA,NA,NA,NA,NA,NA,NA,NA,NA,48842,NA,NA,NA,NA,NA,61000
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064209,23.83,7.07,16.73,9.32,13.3,26.17,3.58,NA,NA,104937,NA,200,NA,NA,73.47,26039.57
GAB,SSF,Gabon,UMC,18514.65234,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086137,NA,14000,NA,NA,NA,238102.31
GBR,ECS,United Kingdom,HIC,46290.12109,16.7,2.2,3.5,28.2,18.9,20.2,NA,7.6,2.7,66460344,156803699,3584126,5755258,NA,4218205,30771140
GEO,ECS,Georgia,LMC,12605.13965,39,3,5,16,34,3,NA,NA,NA,3717100,NA,21000,NA,NA,NA,800000
GHA,SSF,Ghana,LMC,3092.596924,67,0,1,25,3,4,NA,NA,NA,21542008,NA,39000,NA,NA,NA,3538274.978
GIB,ECS,Gibraltar,HIC,43711.80078,24.57,4.42,4.37,14.38,33.65,15.86,NA,NA,NA,33623,30000,201.44,58995.04,NA,NA,16954
GIN,SSF,Guinea,LIC,1622.776855,58,1,1,27,9,4,NA,NA,NA,8132552,NA,8000,NA,NA,NA,596911
GMB,SSF,"Gambia, The",LIC,2180.855713,35,1.9,2.1,51.4,9.7,NA,NA,NA,NA,1311349,NA,2200,NA,NA,NA,193440.54
